gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	Adipo	B cell	Basal	Endo	HormSens	LumProg	Monocyte/Inf mac	Neutrophil/Granulocyte	Proliferating immune	Stroma_0	Stroma_1	Stroma_2	Stroma_3	Stroma_4	T cell	Tissue-resident mac	cDC1
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC0010C54C6	ALDH1A1	1.33	0.203	0.521	0.292	0.173	0.169	0.33	0.252	0.042	1.875	0.826	1.248	1.397	1.972	0.235	0.222	0.43
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC048F01E8D	ALDH1A1	1.33	0.203	0.521	0.292	0.173	0.169	0.33	0.252	0.042	1.875	0.826	1.248	1.397	1.972	0.235	0.222	0.43
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC06F5021B7	ALDH1A1	1.33	0.203	0.521	0.292	0.173	0.169	0.33	0.252	0.042	1.875	0.826	1.248	1.397	1.972	0.235	0.222	0.43
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC036F9AC3C	ALDH1A1	1.33	0.203	0.521	0.292	0.173	0.169	0.33	0.252	0.042	1.875	0.826	1.248	1.397	1.972	0.235	0.222	0.43
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC065AB1F5E	ALDH1A1	1.33	0.203	0.521	0.292	0.173	0.169	0.33	0.252	0.042	1.875	0.826	1.248	1.397	1.972	0.235	0.222	0.43
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC01AF691C1	ALDH1A1	1.33	0.203	0.521	0.292	0.173	0.169	0.33	0.252	0.042	1.875	0.826	1.248	1.397	1.972	0.235	0.222	0.43
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC0A31C8D8B	ALDH1A1	1.33	0.203	0.521	0.292	0.173	0.169	0.33	0.252	0.042	1.875	0.826	1.248	1.397	1.972	0.235	0.222	0.43
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC0A06D2C2D	ALDH1A1	1.33	0.203	0.521	0.292	0.173	0.169	0.33	0.252	0.042	1.875	0.826	1.248	1.397	1.972	0.235	0.222	0.43
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC0E829C954	ALDH1A1	1.33	0.203	0.521	0.292	0.173	0.169	0.33	0.252	0.042	1.875	0.826	1.248	1.397	1.972	0.235	0.222	0.43
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CS08EE9E5CE	ALDH1A1	1.33	0.203	0.521	0.292	0.173	0.169	0.33	0.252	0.042	1.875	0.826	1.248	1.397	1.972	0.235	0.222	0.43
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC0C61DFEC5	ALDH1A2	0.005	0.01	0.008	0.0	0.005	0.014	0.579	0.0	0.076	0.003	0.014	0.003	0.006	0.028	0.012	0.039	0.048
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC03C7C010D	ALDH1A2	0.005	0.01	0.008	0.0	0.005	0.014	0.579	0.0	0.076	0.003	0.014	0.003	0.006	0.028	0.012	0.039	0.048
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC021B19C0E	ALDH1A2	0.005	0.01	0.008	0.0	0.005	0.014	0.579	0.0	0.076	0.003	0.014	0.003	0.006	0.028	0.012	0.039	0.048
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC061CCD0A0	ALDH1A2	0.005	0.01	0.008	0.0	0.005	0.014	0.579	0.0	0.076	0.003	0.014	0.003	0.006	0.028	0.012	0.039	0.048
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC066507DFB	ALDH1A2	0.005	0.01	0.008	0.0	0.005	0.014	0.579	0.0	0.076	0.003	0.014	0.003	0.006	0.028	0.012	0.039	0.048
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC000118AA2	ALDH1A2	0.005	0.01	0.008	0.0	0.005	0.014	0.579	0.0	0.076	0.003	0.014	0.003	0.006	0.028	0.012	0.039	0.048
