source	target	weight
GO:0040017	GO:0090130	0.284615384615385
GO:0030335	GO:0090130	0.285714285714286
GO:0001667	GO:0090130	0.662921348314607
GO:2000147	GO:0090132	0.27906976744186
GO:0040017	GO:0090132	0.284615384615385
GO:0030335	GO:0090132	0.285714285714286
GO:0001667	GO:0090132	0.662921348314607
GO:0090130	GO:0090132	1
GO:0051347	GO:0033674	0.813559322033898
GO:0001503	GO:0030278	0.388059701492537
GO:0044057	GO:0003013	0.378151260504202
GO:0006936	GO:0003013	0.276190476190476
GO:0003073	GO:0003013	0.282051282051282
GO:0002521	GO:0046649	0.33953488372093
GO:0045785	GO:0046649	0.254237288135593
GO:0040013	GO:2000146	0.720588235294118
GO:0032787	GO:0044283	0.35632183908046
GO:0002683	GO:0032102	0.265625
GO:0002521	GO:1903706	0.442622950819672
GO:0052547	GO:2000117	0.310810810810811
GO:0034330	GO:1901888	0.26530612244898
GO:0034329	GO:1901888	0.550724637681159
GO:0051347	GO:0051338	0.702380952380952
GO:0033674	GO:0051338	0.571428571428571
GO:0098609	GO:0050865	0.320652173913043
GO:0002683	GO:0050865	0.273972602739726
GO:0045785	GO:0050865	0.259036144578313
GO:0046649	GO:0050865	0.348258706467662
GO:1903706	GO:0050865	0.272
GO:0051336	GO:0051346	0.351351351351351
GO:0052547	GO:0051346	0.465116279069767
GO:2000117	GO:0051346	0.442307692307692
GO:0008544	GO:0042303	0.35
GO:0098773	GO:0042303	0.590909090909091
GO:0008544	GO:0042633	0.35
GO:0098773	GO:0042633	0.590909090909091
GO:0042303	GO:0042633	1
GO:0032989	GO:0051960	0.291390728476821
GO:0032989	GO:0120035	0.306818181818182
GO:0051960	GO:0120035	0.34965034965035
GO:0032989	GO:0050767	0.27972027972028
GO:0051960	GO:0050767	0.848101265822785
GO:0120035	GO:0050767	0.340740740740741
GO:0033002	GO:0048660	0.760869565217391
GO:0001503	GO:0001649	0.567164179104478
GO:1903706	GO:0010720	0.315315315315315
GO:0051960	GO:0010720	0.373913043478261
