"Gene"	"IS01"	"IS02"	"State"	"MaxFC"	"InitialState"
"Shb"	"Shb"	1.06962223878369	-1.06962223878369	"S01"	1.06962223878369	"IS01"
"Fam126a"	"Fam126a"	1.0690059365213	-1.0690059365213	"S01"	1.0690059365213	"IS01"
"Cdc42se2"	"Cdc42se2"	1.0686127274114	-1.0686127274114	"S01"	1.0686127274114	"IS01"
"Tnrc18"	"Tnrc18"	1.06595266297764	-1.06595266297764	"S01"	1.06595266297764	"IS01"
"Dnajb6"	"Dnajb6"	1.06497954804986	-1.06497954804986	"S01"	1.06497954804986	"IS01"
"Rab10"	"Rab10"	1.06483497639444	-1.06483497639444	"S01"	1.06483497639444	"IS01"
"Ms4a6c"	"Ms4a6c"	1.06410272666576	-1.06410272666576	"S01"	1.06410272666576	"IS01"
"Snx29"	"Snx29"	1.06390810317627	-1.06390810317627	"S01"	1.06390810317627	"IS01"
"Snx18"	"Snx18"	1.06169574033952	-1.06169574033952	"S01"	1.06169574033952	"IS01"
"Lipa"	"Lipa"	1.05584993739744	-1.05584993739744	"S01"	1.05584993739744	"IS01"
"Rhoh"	"Rhoh"	1.05583481589443	-1.05583481589443	"S01"	1.05583481589443	"IS01"
"Ppp4r3a"	"Ppp4r3a"	1.05393029924226	-1.05393029924226	"S01"	1.05393029924226	"IS01"
"Zfp148"	"Zfp148"	1.05358442366671	-1.05358442366671	"S01"	1.05358442366671	"IS01"
"Arhgef2"	"Arhgef2"	1.05337277636323	-1.05337277636323	"S01"	1.05337277636323	"IS01"
"Hps4"	"Hps4"	1.05056521756961	-1.05056521756961	"S01"	1.05056521756961	"IS01"
"Memo1"	"Memo1"	1.05020869414967	-1.05020869414967	"S01"	1.05020869414967	"IS01"
"Olfr111"	"Olfr111"	1.0495631836067	-1.0495631836067	"S01"	1.0495631836067	"IS01"
"Tgfbr2"	"Tgfbr2"	1.0483115498429	-1.0483115498429	"S01"	1.0483115498429	"IS01"
"Gm2245"	"Gm2245"	1.04750039758253	-1.04750039758253	"S01"	1.04750039758253	"IS01"
"Sh3glb1"	"Sh3glb1"	1.04709640341475	-1.04709640341475	"S01"	1.04709640341475	"IS01"
"Hexb"	"Hexb"	1.04555491280078	-1.04555491280078	"S01"	1.04555491280078	"IS01"
"Apbb1ip"	"Apbb1ip"	1.04317197383147	-1.04317197383147	"S01"	1.04317197383147	"IS01"
"Baz1b"	"Baz1b"	1.0416951567721	-1.0416951567721	"S01"	1.0416951567721	"IS01"
"Akap13"	"Akap13"	1.04122890930543	-1.04122890930543	"S01"	1.04122890930543	"IS01"
"Rreb1"	"Rreb1"	1.04091483934027	-1.04091483934027	"S01"	1.04091483934027	"IS01"
"Gak"	"Gak"	1.04058027275771	-1.04058027275771	"S01"	1.04058027275771	"IS01"
