"Gene"	"IS01"	"IS02"	"State"	"MaxFC"	"InitialState"
"Smarca4"	"Smarca4"	0.685115541122272	-0.685115541122272	"S01"	0.685115541122272	"IS01"
"Fosl2"	"Fosl2"	0.684464721441911	-0.684464721441911	"S01"	0.684464721441911	"IS01"
"Akt3"	"Akt3"	0.68295231875978	-0.68295231875978	"S01"	0.68295231875978	"IS01"
"Dele1"	"Dele1"	0.682483873219266	-0.682483873219266	"S01"	0.682483873219266	"IS01"
"Tubgcp6"	"Tubgcp6"	0.68246635964418	-0.68246635964418	"S01"	0.68246635964418	"IS01"
"Depdc5"	"Depdc5"	0.680050306315748	-0.680050306315748	"S01"	0.680050306315748	"IS01"
"Cenpk"	"Cenpk"	0.679363089237067	-0.679363089237067	"S01"	0.679363089237067	"IS01"
"Pign"	"Pign"	0.679123374355193	-0.679123374355193	"S01"	0.679123374355193	"IS01"
"Enthd1"	"Enthd1"	0.678821816556977	-0.678821816556977	"S01"	0.678821816556977	"IS01"
"Gm43482"	"Gm43482"	0.678751175753552	-0.678751175753552	"S01"	0.678751175753552	"IS01"
"Gm45479"	"Gm45479"	0.678571757299283	-0.678571757299283	"S01"	0.678571757299283	"IS01"
"A130050O07Rik"	"A130050O07Rik"	0.678276449946294	-0.678276449946294	"S01"	0.678276449946294	"IS01"
"Gm26586"	"Gm26586"	0.677855210622527	-0.677855210622527	"S01"	0.677855210622527	"IS01"
"Gm15246"	"Gm15246"	0.677031211143432	-0.677031211143432	"S01"	0.677031211143432	"IS01"
"Slc39a6"	"Slc39a6"	0.676984499267184	-0.676984499267184	"S01"	0.676984499267184	"IS01"
"Gmcl1"	"Gmcl1"	0.675425445812223	-0.675425445812223	"S01"	0.675425445812223	"IS01"
"Zfp39"	"Zfp39"	0.675398848240734	-0.675398848240734	"S01"	0.675398848240734	"IS01"
"E2f8"	"E2f8"	0.67515881017075	-0.67515881017075	"S01"	0.67515881017075	"IS01"
"Ryr1"	"Ryr1"	0.674952887124733	-0.674952887124733	"S01"	0.674952887124733	"IS01"
"Dek"	"Dek"	0.672797207705589	-0.672797207705589	"S01"	0.672797207705589	"IS01"
"Foxm1"	"Foxm1"	0.672450677444131	-0.672450677444131	"S01"	0.672450677444131	"IS01"
"Alg8"	"Alg8"	0.672050272848219	-0.672050272848219	"S01"	0.672050272848219	"IS01"
"Dapk1"	"Dapk1"	0.671386202984295	-0.671386202984295	"S01"	0.671386202984295	"IS01"
"Ppm1d"	"Ppm1d"	0.670477316778961	-0.670477316778961	"S01"	0.670477316778961	"IS01"
"Pqlc3"	"Pqlc3"	0.668426630961169	-0.668426630961169	"S01"	0.668426630961169	"IS01"
"Actn4"	"Actn4"	0.666055896525698	-0.666055896525698	"S01"	0.666055896525698	"IS01"
"Naaa"	"Naaa"	0.665689236302703	-0.665689236302703	"S01"	0.665689236302703	"IS01"
"Sfmbt1"	"Sfmbt1"	0.663077461982361	-0.663077461982361	"S01"	0.663077461982361	"IS01"
"Tada2a"	"Tada2a"	0.662678032361946	-0.662678032361946	"S01"	0.662678032361946	"IS01"
"Ppfibp1"	"Ppfibp1"	0.658683382252486	-0.658683382252486	"S01"	0.658683382252486	"IS01"
"Shcbp1"	"Shcbp1"	0.655965419602095	-0.655965419602095	"S01"	0.655965419602095	"IS01"
"Rrm1"	"Rrm1"	0.655944555878399	-0.655944555878399	"S01"	0.655944555878399	"IS01"
"Zmat2"	"Zmat2"	0.655706932494564	-0.655706932494564	"S01"	0.655706932494564	"IS01"
"Gm44951"	"Gm44951"	0.655055323427427	-0.655055323427427	"S01"	0.655055323427427	"IS01"
"Haus6"	"Haus6"	0.654245183368205	-0.654245183368205	"S01"	0.654245183368205	"IS01"
"Hells"	"Hells"	0.653612433725163	-0.653612433725163	"S01"	0.653612433725163	"IS01"
"Nfya"	"Nfya"	0.652768763084854	-0.652768763084854	"S01"	0.652768763084854	"IS01"
"Ash2l"	"Ash2l"	0.652028111377115	-0.652028111377115	"S01"	0.652028111377115	"IS01"
"Haus4"	"Haus4"	0.650069006301152	-0.650069006301152	"S01"	0.650069006301152	"IS01"
"Zfyve28"	"Zfyve28"	0.649434410528018	-0.649434410528018	"S01"	0.649434410528018	"IS01"
"Nlrp1a"	"Nlrp1a"	0.649424037333988	-0.649424037333988	"S01"	0.649424037333988	"IS01"
