"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"	"InitialState"
"Csrnp1"	"Csrnp1"	-0.288125960447412	-0.238604310995513	-0.288125960447412	0.848370883539603	"S01"	0.848370883539603	"IS04"
"Nfe2l3"	"Nfe2l3"	-0.287870437345557	-0.238392705926789	-0.287870437345557	0.847618509961917	"S01"	0.847618509961917	"IS04"
"Ccdc88a"	"Ccdc88a"	-1.05954783703678	0.10338061679875	0.274155006761483	0.840993818394771	"S01"	0.840993818394771	"IS04"
"Tmem131l"	"Tmem131l"	-0.561473921553695	-0.551917639527261	0.189040407921408	0.840870881489171	"S01"	0.840870881489171	"IS04"
"Spint2"	"Spint2"	-0.550648025074811	-0.151992740491208	-0.073279844384477	0.840324231387088	"S01"	0.840324231387088	"IS04"
"4933406J09Rik"	"4933406J09Rik"	-0.231579347863927	-0.0554646063889702	-0.452924447130833	0.840044965330787	"S01"	0.840044965330787	"IS04"
"Lrrk1"	"Lrrk1"	-0.672932787813736	-0.407569876293257	0.210433378782943	0.839847169158772	"S01"	0.839847169158772	"IS04"
"Tbc1d8"	"Tbc1d8"	-0.848934633590894	0.0326037988870733	0.128126755909712	0.817648549183994	"S01"	0.817648549183994	"IS04"
"Mtmr4"	"Mtmr4"	-0.16493589928659	0.0191172229704257	-0.537750747007887	0.806410914359847	"S01"	0.806410914359847	"IS04"
"Col27a1"	"Col27a1"	-0.481411973286848	0.437744109653972	-0.481411973286848	0.802198194117897	"S01"	0.802198194117897	"IS04"
"Tuba1a"	"Tuba1a"	-0.486374404835171	-0.136272988803925	-0.112048756100841	0.798980353048289	"S01"	0.798980353048289	"IS04"
"Apobec3"	"Apobec3"	-0.688922131892797	0.122748700977008	-0.066757091654241	0.792051696507181	"S01"	0.792051696507181	"IS04"
"Klri1"	"Klri1"	-0.485146198631215	-0.132752693500162	-0.0965849587394177	0.776900717857209	"S01"	0.776900717857209	"IS04"
"Apol7c"	"Apol7c"	-0.0887812096976814	-0.310613202455945	-0.375080093531707	0.770112900500757	"S01"	0.770112900500757	"IS04"
"Pmaip1"	"Pmaip1"	-0.262174979754162	0.208448097744941	-0.486821545586518	0.721205579810512	"S01"	0.721205579810512	"IS04"
"Cd47"	"Cd47"	-0.558609270448759	-0.264528979836658	0.110827688251965	0.717436786601959	"S01"	0.717436786601959	"IS04"
"Arhgap31"	"Arhgap31"	-0.326540657491954	0.22266917226828	-0.423453484448134	0.711908941305488	"S01"	0.711908941305488	"IS04"
"Lpar3"	"Lpar3"	-0.333265313449921	0.0912293603518085	-0.333265313449921	0.711146250422143	"S01"	0.711146250422143	"IS04"
"Ltf"	"Ltf"	-0.333932059531369	0.0948175774417025	-0.333932059531369	0.710063660596024	"S01"	0.710063660596024	"IS04"
"Mmp25"	"Mmp25"	-0.335124990021787	0.11680151482941	-0.335124990021787	0.696677358509702	"S01"	0.696677358509702	"IS04"
"9430087J23Rik"	"9430087J23Rik"	-0.334680689408012	0.115813932887848	-0.334680689408012	0.696366302987419	"S01"	0.696366302987419	"IS04"
