"Gene"	"IS01"	"IS02"	"State"	"MaxFC"	"InitialState"
"Clec4a1"	"Clec4a1"	0.629698530224652	-0.629698530224652	"S01"	0.629698530224652	"IS01"
"Klf13"	"Klf13"	0.627322648968756	-0.627322648968756	"S01"	0.627322648968756	"IS01"
"Slfn2"	"Slfn2"	0.621549279482915	-0.621549279482915	"S01"	0.621549279482915	"IS01"
"Emilin2"	"Emilin2"	0.619030350701363	-0.619030350701363	"S01"	0.619030350701363	"IS01"
"Eno3"	"Eno3"	0.616330958925213	-0.616330958925213	"S01"	0.616330958925213	"IS01"
"Gvin3"	"Gvin3"	0.615302999732702	-0.615302999732702	"S01"	0.615302999732702	"IS01"
"Diaph2"	"Diaph2"	0.612517985968569	-0.612517985968569	"S01"	0.612517985968569	"IS01"
"2210016F16Rik"	"2210016F16Rik"	0.608531220982531	-0.608531220982531	"S01"	0.608531220982531	"IS01"
"Ptpre"	"Ptpre"	0.60629807741002	-0.60629807741002	"S01"	0.60629807741002	"IS01"
"Plek"	"Plek"	0.600403127344192	-0.600403127344192	"S01"	0.600403127344192	"IS01"
"Zfp710"	"Zfp710"	0.594274297581244	-0.594274297581244	"S01"	0.594274297581244	"IS01"
"Ms4a6b"	"Ms4a6b"	0.587181022852003	-0.587181022852003	"S01"	0.587181022852003	"IS01"
"Gab2"	"Gab2"	0.584773927948887	-0.584773927948887	"S01"	0.584773927948887	"IS01"
"Plcg2"	"Plcg2"	0.582592623804103	-0.582592623804103	"S01"	0.582592623804103	"IS01"
"Uvrag"	"Uvrag"	0.576033292356438	-0.576033292356438	"S01"	0.576033292356438	"IS01"
"Psap"	"Psap"	0.571684962328243	-0.571684962328243	"S01"	0.571684962328243	"IS01"
"Sipa1l3"	"Sipa1l3"	0.5629007131963	-0.5629007131963	"S01"	0.5629007131963	"IS01"
"Myo1f"	"Myo1f"	0.562587424947635	-0.562587424947635	"S01"	0.562587424947635	"IS01"
"Fau"	"Fau"	0.560493778018833	-0.560493778018833	"S01"	0.560493778018833	"IS01"
"Slc12a2"	"Slc12a2"	0.559312960788169	-0.559312960788169	"S01"	0.559312960788169	"IS01"
"Gngt2"	"Gngt2"	0.558945912671758	-0.558945912671758	"S01"	0.558945912671758	"IS01"
"Itgb2"	"Itgb2"	0.555206744859171	-0.555206744859171	"S01"	0.555206744859171	"IS01"
"Art2a"	"Art2a"	0.547564490481214	-0.547564490481214	"S01"	0.547564490481214	"IS01"
"Clec4e"	"Clec4e"	0.545795808948227	-0.545795808948227	"S01"	0.545795808948227	"IS01"
"Bmx"	"Bmx"	0.545173680646615	-0.545173680646615	"S01"	0.545173680646615	"IS01"
"Il1b"	"Il1b"	0.54426865393723	-0.54426865393723	"S01"	0.54426865393723	"IS01"
"Scarb1"	"Scarb1"	0.543829620200572	-0.543829620200572	"S01"	0.543829620200572	"IS01"
"Syk"	"Syk"	0.543717267575228	-0.543717267575228	"S01"	0.543717267575228	"IS01"
"Ptprc"	"Ptprc"	0.543341289520483	-0.543341289520483	"S01"	0.543341289520483	"IS01"
"Il10ra"	"Il10ra"	0.542971007510774	-0.542971007510774	"S01"	0.542971007510774	"IS01"
"Tmsb4x"	"Tmsb4x"	0.54277001365898	-0.54277001365898	"S01"	0.54277001365898	"IS01"
"Naip5"	"Naip5"	0.539596893499948	-0.539596893499948	"S01"	0.539596893499948	"IS01"
"Cyp4f18"	"Cyp4f18"	0.536579261128046	-0.536579261128046	"S01"	0.536579261128046	"IS01"
"Gm26740"	"Gm26740"	0.53574042791493	-0.53574042791493	"S01"	0.53574042791493	"IS01"
"Grk3"	"Grk3"	0.533902730894346	-0.533902730894346	"S01"	0.533902730894346	"IS01"
"S1pr5"	"S1pr5"	0.527417787219368	-0.527417787219368	"S01"	0.527417787219368	"IS01"
"Adssl1"	"Adssl1"	0.524173119563351	-0.524173119563351	"S01"	0.524173119563351	"IS01"
"Acer3"	"Acer3"	0.520780125091675	-0.520780125091675	"S01"	0.520780125091675	"IS01"
"Napsa"	"Napsa"	0.520745948345327	-0.520745948345327	"S01"	0.520745948345327	"IS01"
"Cd44"	"Cd44"	0.518670253159949	-0.518670253159949	"S01"	0.518670253159949	"IS01"
"Il17ra"	"Il17ra"	0.51534001845527	-0.51534001845527	"S01"	0.51534001845527	"IS01"
"Rgs2"	"Rgs2"	0.514559733213128	-0.514559733213128	"S01"	0.514559733213128	"IS01"
"Fgd4"	"Fgd4"	0.514290658256746	-0.514290658256746	"S01"	0.514290658256746	"IS01"
"Lrp1"	"Lrp1"	0.513017565049444	-0.513017565049444	"S01"	0.513017565049444	"IS01"
"Dusp6"	"Dusp6"	0.511808283884858	-0.511808283884858	"S01"	0.511808283884858	"IS01"
"Camkk2"	"Camkk2"	0.511487100416824	-0.511487100416824	"S01"	0.511487100416824	"IS01"
"Slfn5"	"Slfn5"	0.509728603350341	-0.509728603350341	"S01"	0.509728603350341	"IS01"
"Pot1b"	"Pot1b"	0.507449219032459	-0.507449219032459	"S01"	0.507449219032459	"IS01"
"Smpdl3b"	"Smpdl3b"	0.506640959478517	-0.506640959478517	"S01"	0.506640959478517	"IS01"
"Ly6c2"	"Ly6c2"	0.504256036181757	-0.504256036181757	"S01"	0.504256036181757	"IS01"
"Irak3"	"Irak3"	0.504242732505144	-0.504242732505144	"S01"	0.504242732505144	"IS01"
"Lair1"	"Lair1"	0.504021975621236	-0.504021975621236	"S01"	0.504021975621236	"IS01"
"Pag1"	"Pag1"	0.502603263174952	-0.502603263174952	"S01"	0.502603263174952	"IS01"
"Stap1"	"Stap1"	0.501807222733894	-0.501807222733894	"S01"	0.501807222733894	"IS01"
"Nr4a1"	"Nr4a1"	0.49910335120388	-0.49910335120388	"S01"	0.49910335120388	"IS01"
"Rnf213"	"Rnf213"	0.493457074304582	-0.493457074304582	"S01"	0.493457074304582	"IS01"
"Plagl2"	"Plagl2"	0.49212229987299	-0.49212229987299	"S01"	0.49212229987299	"IS01"
"Dleu2"	"Dleu2"	0.486450471395596	-0.486450471395596	"S01"	0.486450471395596	"IS01"
"Tmem164"	"Tmem164"	0.480543534058361	-0.480543534058361	"S01"	0.480543534058361	"IS01"
"Mtus1"	"Mtus1"	0.476037392684609	-0.476037392684609	"S01"	0.476037392684609	"IS01"
"Arhgap30"	"Arhgap30"	0.475000580856316	-0.475000580856316	"S01"	0.475000580856316	"IS01"
"Mpeg1"	"Mpeg1"	0.470039800905784	-0.470039800905784	"S01"	0.470039800905784	"IS01"
"G730013B05Rik"	"G730013B05Rik"	0.469995475546321	-0.469995475546321	"S01"	0.469995475546321	"IS01"
"Gm42992"	"Gm42992"	0.469779812646539	-0.469779812646539	"S01"	0.469779812646539	"IS01"
"Itga4"	"Itga4"	0.469652946504421	-0.469652946504421	"S01"	0.469652946504421	"IS01"
"Shox2"	"Shox2"	0.469450050118059	-0.469450050118059	"S01"	0.469450050118059	"IS01"
"9030404E10Rik"	"9030404E10Rik"	0.468988817593363	-0.468988817593363	"S01"	0.468988817593363	"IS01"
"Glt1d1"	"Glt1d1"	0.467828894205854	-0.467828894205854	"S01"	0.467828894205854	"IS01"
"Itgal"	"Itgal"	0.467802559905576	-0.467802559905576	"S01"	0.467802559905576	"IS01"
"Gm671"	"Gm671"	0.466681814227564	-0.466681814227564	"S01"	0.466681814227564	"IS01"
"1700102P08Rik"	"1700102P08Rik"	0.46568114817793	-0.46568114817793	"S01"	0.46568114817793	"IS01"
"Gm35853"	"Gm35853"	0.460616785447079	-0.460616785447079	"S01"	0.460616785447079	"IS01"
"Agpat4"	"Agpat4"	0.458887584623865	-0.458887584623865	"S01"	0.458887584623865	"IS01"
"Tpd52"	"Tpd52"	0.458250982580238	-0.458250982580238	"S01"	0.458250982580238	"IS01"
"Tgm2"	"Tgm2"	0.457458604929007	-0.457458604929007	"S01"	0.457458604929007	"IS01"
"Nectin1"	"Nectin1"	0.451319809522249	-0.451319809522249	"S01"	0.451319809522249	"IS01"
"Hexb"	"Hexb"	0.450661346694959	-0.450661346694959	"S01"	0.450661346694959	"IS01"
"Casz1"	"Casz1"	0.448034719759425	-0.448034719759425	"S01"	0.448034719759425	"IS01"
"Svil"	"Svil"	0.447395996949149	-0.447395996949149	"S01"	0.447395996949149	"IS01"
"Etv6"	"Etv6"	0.445819744383774	-0.445819744383774	"S01"	0.445819744383774	"IS01"
"Nupr1"	"Nupr1"	0.445421733364087	-0.445421733364087	"S01"	0.445421733364087	"IS01"
"Arpc2"	"Arpc2"	0.444681372936228	-0.444681372936228	"S01"	0.444681372936228	"IS01"
"Foxn3"	"Foxn3"	0.442663972306269	-0.442663972306269	"S01"	0.442663972306269	"IS01"
"Itgam"	"Itgam"	0.434238113504367	-0.434238113504367	"S01"	0.434238113504367	"IS01"
"Prkcd"	"Prkcd"	0.433761637797034	-0.433761637797034	"S01"	0.433761637797034	"IS01"
"Sgk1"	"Sgk1"	0.433119996255418	-0.433119996255418	"S01"	0.433119996255418	"IS01"
"Ldlrad3"	"Ldlrad3"	0.431942851706501	-0.431942851706501	"S01"	0.431942851706501	"IS01"
"Gcnt2"	"Gcnt2"	0.430756223008454	-0.430756223008454	"S01"	0.430756223008454	"IS01"
