"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"State"	"MaxFC"	"InitialState"
"Chchd10"	"Chchd10"	-0.162808566412758	0.04134672246844	0.290463981861311	0.0159136317845682	0.116770030797843	0.0530877128680144	0.0289344849128827	-0.191266974362956	"S01"	0.290463981861311	"IS03"
"Dnmt3b"	"Dnmt3b"	-0.0735354273768142	0.161559054158894	0.279392073848395	-0.27177644201287	0.188520350260104	0.277188152058104	-0.28070340543665	-0.131601767574032	"S01"	0.279392073848395	"IS03"
"Map4k2"	"Map4k2"	0.231617709149725	-0.00148289319474354	0.264981250154535	0.0691539752622832	-0.146791719932293	-0.0992190908467736	0.227779058739232	-0.176634151251829	"S01"	0.264981250154535	"IS03"
"Il2ra"	"Il2ra"	-0.26644817505158	-0.130423339884312	-0.256678408633022	1.58018530748345	-0.298463265852352	-0.278998270253285	-0.171659853955205	-0.0467688760677798	"S02"	1.58018530748345	"IS04"
"Il23r"	"Il23r"	-0.174847147478839	-0.176681208466379	-0.168436085404614	1.53123714004195	-0.19585591326118	-0.183082701526755	-0.184419071610892	-0.20540986024953	"S02"	1.53123714004195	"IS04"
"Cntn1"	"Cntn1"	-0.216060711331508	-0.0289894855621608	-0.208138485249353	1.52881501962548	-0.242021494475991	-0.226237483966688	-0.227888852462795	-0.151107482112055	"S02"	1.52881501962548	"IS04"
"Icos"	"Icos"	-0.205034101531494	-0.183567722028532	-0.437198569278662	1.29221256000402	-0.276210579766767	0.443980928228386	0.0578908507522053	-0.477878632900856	"S02"	1.29221256000402	"IS04"
"Il17rb"	"Il17rb"	0.0400874733387203	-0.176787458043092	-0.168537376667747	1.12456216562055	-0.195973693799706	-0.183192800725812	-0.184529974453738	-0.0819223577893187	"S02"	1.12456216562055	"IS04"
"Cdh10"	"Cdh10"	-0.123297599091209	-0.124590930550208	-0.118776687124531	1.07978806476847	-0.13811242688899	-0.129105094700578	-0.130047467654596	-0.14484961844455	"S02"	1.07978806476847	"IS04"
"Dach2"	"Dach2"	-0.194243638910184	0.0989846908857455	-0.187121372150144	1.05324601717064	-0.217582990872261	-0.203392795815374	-0.204877414762931	-0.0239599228288843	"S02"	1.05324601717064	"IS04"
"Nebl"	"Nebl"	0.127845573868152	-0.0702277351356504	-0.419590604401495	0.990452189504607	-0.182159811533894	0.241187239122193	0.0194994071041223	-0.452502323992783	"S02"	0.990452189504607	"IS04"
"Olfr1259"	"Olfr1259"	-0.163511560195405	0.0407900608240958	-0.157516136321573	0.986657100068005	-0.0233677763027135	-0.171213191653884	-0.172462922979825	-0.19209284917265	"S02"	0.986657100068005	"IS04"
"Il9r"	"Il9r"	0.0708195254809312	-0.165346918503792	0.352899980357951	0.974717616774219	-0.183291545318157	-0.171337748884365	-0.17258838938717	-0.192232596309287	"S02"	0.974717616774219	"IS04"
"Ikzf2"	"Ikzf2"	0.516558270381607	0.602924110474609	-0.72992281659086	0.969007756194743	-0.561092504351556	-0.273969989691068	0.023393327259982	-0.208950084548676	"S02"	0.969007756194743	"IS04"
"Arnt2"	"Arnt2"	-0.22489128099545	0.670622812524026	-0.216645267358951	0.964958378386878	-0.251913101580175	-0.235483986259729	-0.237202847473304	-0.166774962207016	"S02"	0.964958378386878	"IS04"
"Rora"	"Rora"	-0.0725092335451789	-0.114547330630583	-0.394385928095152	0.930906175966262	-0.218722975744654	0.366125097754137	0.264424170212939	-0.52637157359477	"S02"	0.930906175966262	"IS04"
"A530083M17Rik"	"A530083M17Rik"	-0.101063713793041	-0.107663671223021	-0.249514987478235	0.923460329493683	-0.29013370637004	0.116826483178132	0.0780041542490226	-0.206738967403508	"S02"	0.923460329493683	"IS04"
"St6galnac3"	"St6galnac3"	0.414743676139288	-0.155183157398491	0.0182976968526439	0.910529444498208	-0.433652893305435	0.0231664608679801	0.00130180909655501	-0.248408472307804	"S02"	0.910529444498208	"IS04"
"Il7r"	"Il7r"	0.760883245166877	-0.246301922845255	-0.597114375598432	0.866361444503944	-0.55597883516871	0.347519308764955	-0.36741557501149	-0.0195952051941356	"S02"	0.866361444503944	"IS04"
"Camk4"	"Camk4"	0.501372638823662	-0.416166760332103	-0.830047363997702	0.866048996580732	-0.842937678576672	0.85980714077558	0.329043274815641	-0.296776164198	"S02"	0.866048996580732	"IS04"
"Zfp462"	"Zfp462"	-0.296637504428888	-0.299749086643177	-0.285760795933162	0.86202029218199	0.133895838090707	-0.214109225814064	-0.0964038124030446	-0.0187388195597661	"S02"	0.86202029218199	"IS04"
"Il18r1"	"Il18r1"	0.565729028391324	-0.307815585118678	-0.749857615873499	0.85284154864468	0.286285543790581	-0.205947882009217	-0.342661016573707	-0.244231465504611	"S02"	0.85284154864468	"IS04"
"Foxp3"	"Foxp3"	0.170858499016077	-0.153195189609304	-0.14604608076087	0.798597611045079	-0.169821024140547	-0.158745739957467	-0.159904467986354	-0.0372787834445933	"S02"	0.798597611045079	"IS04"
"Xkr6"	"Xkr6"	-0.162658259265822	-0.203116662862436	-0.300254985891715	0.795787175103398	0.0909829117766242	0.1938082217291	-0.0151568897799909	-0.366164616941116	"S02"	0.795787175103398	"IS04"
"Olfr60"	"Olfr60"	0.247418001748234	-0.124704725179662	-0.118885171337944	0.770936769580538	-0.138238571323191	-0.129223012323852	-0.13016624599045	-0.144981916265786	"S02"	0.770936769580538	"IS04"
"Tasp1"	"Tasp1"	0.244330191747786	-0.187684559396365	-0.129795929473815	0.756964706935695	-0.601083851983339	0.398572282019807	0.292262465890247	-0.320059442106286	"S02"	0.756964706935695	"IS04"
"Nbea"	"Nbea"	-0.28273857499404	0.130923788079271	-0.46350064332685	0.724223273600613	0.228758281152863	0.146609794757089	-0.246122117474755	-0.328987966934908	"S02"	0.724223273600613	"IS04"
"Slco3a1"	"Slco3a1"	0.32660266373637	0.184018420353765	-0.741284713697444	0.720386786003621	-0.63535985906473	0.640009097202428	0.0348238017826454	-0.305215564082181	"S02"	0.720386786003621	"IS04"
"Msi2"	"Msi2"	0.0732078056380646	0.32405621075845	0.495363791488753	0.718471548849616	-0.351821010797188	0.353355177592113	0.027330476085892	-0.661446310301867	"S02"	0.718471548849616	"IS04"
"Gm8189"	"Gm8189"	-0.124740402714892	-0.0881468947688258	-0.379927849990119	0.718212166205921	-0.25141553767232	0.426376813336105	0.0359718373180494	-0.262082568995459	"S02"	0.718212166205921	"IS04"
"Tshz3"	"Tshz3"	-0.424990833597713	-0.0334202973823127	-0.409407836365797	0.714439463157458	0.577282044761879	-0.44500851778891	-0.300459172949181	-0.0796697575433505	"S02"	0.714439463157458	"IS04"
