"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"State"	"MaxFC"	"InitialState"
"Homer1"	"Homer1"	-0.189475163281896	0.000654579269463476	0.836552221213768	0.231869165646	-0.360837119651635	-0.41119875791119	0.128301685002819	"S01"	0.836552221213768	"IS03"
"Rnf152"	"Rnf152"	-0.274156808113315	-0.13536468770596	0.831660317426752	-0.0909007505041704	-0.196004426975151	-0.111847447339451	0.157525969078747	"S01"	0.831660317426752	"IS03"
"Gm34590"	"Gm34590"	-0.115585373691818	-0.152992933516895	0.829550350003902	-0.171719551245291	-0.185886414223027	-0.00480925564959024	-0.0476264885723893	"S01"	0.829550350003902	"IS03"
"Cacna1d"	"Cacna1d"	-0.0408510746634294	0.203568320084959	0.822240866900843	0.27795262814401	-0.309227681490552	-0.432464540489783	-0.235795605147549	"S01"	0.822240866900843	"IS03"
"Ntng2"	"Ntng2"	-0.229656185521078	-0.0706249297071483	0.818745655420105	-0.0519360332176314	-0.282085349286651	-0.334256714542762	0.356269796283455	"S01"	0.818745655420105	"IS03"
"Svil"	"Svil"	0.0328883644390808	-0.350828648601877	0.815443216114057	-0.026903835730018	-0.360083467239348	-0.616287582383738	0.47878503903768	"S01"	0.815443216114057	"IS03"
"Pik3r6"	"Pik3r6"	-0.13372849902049	-0.20146185985133	0.814962806649002	0.189998090387343	-0.388212085268173	-0.603838170326659	0.414080726792701	"S01"	0.814962806649002	"IS03"
"Grk5"	"Grk5"	-0.378567147635373	0.246533435724063	0.814160086081212	0.129734644754811	-0.217989445619257	-0.550786293651372	0.305558672053588	"S01"	0.814160086081212	"IS03"
"Tnip3"	"Tnip3"	-0.281885582049096	-0.330294856343461	0.81357892568632	-0.301409770306823	-0.387968834761644	-0.0996914832131977	0.758119069538174	"S01"	0.81357892568632	"IS03"
"Gm26936"	"Gm26936"	0.10368741043656	-0.0981795081878452	0.802231987687184	-0.0629198479242415	-0.249145104974323	-0.271619818476301	-0.119591431541826	"S01"	0.802231987687184	"IS03"
"Tmem229a"	"Tmem229a"	-0.238941737426764	-0.206001209839124	0.798014824705963	-0.208396334779288	-0.250291469954536	-0.140034871501619	0.402627120631589	"S01"	0.798014824705963	"IS03"
"Fam168a"	"Fam168a"	-0.0664651180278285	-0.076459567499333	0.792927246669932	0.152078183499346	-0.421208471649542	-0.565795499641641	0.351807660689084	"S01"	0.792927246669932	"IS03"
"Lpar1"	"Lpar1"	-0.36021417319494	0.200618914954342	0.790087069595394	0.519838967137697	-0.0145148337221739	-0.648818659106847	-0.308031710151896	"S01"	0.790087069595394	"IS03"
"Tspan5"	"Tspan5"	-0.342845173252897	-0.0218028994948009	0.789837929384149	0.209585430106262	-0.164802191973709	-0.476697104448946	0.170454458369196	"S01"	0.789837929384149	"IS03"
"1700006J14Rik"	"1700006J14Rik"	-0.266532214781285	-0.0518150902437995	0.786186821989625	0.127454522739357	-0.219194372197753	-0.117819314274632	-0.0492490895883252	"S01"	0.786186821989625	"IS03"
"Arhgap39"	"Arhgap39"	-0.0311531248279548	-0.190137428030978	0.786160877142245	0.10944054051778	-0.552104369598403	-0.451490448443659	0.496726704774599	"S01"	0.786160877142245	"IS03"
"Capn5"	"Capn5"	-0.215178469030702	-0.0242545747099979	0.780786194872361	-0.0980218131359794	-0.163510931130742	-0.185029596588375	0.105053036647312	"S01"	0.780786194872361	"IS03"
"Plxdc2"	"Plxdc2"	0.177842467297475	-0.534325809549217	0.77778607172095	-0.276931551390542	-0.29639728608423	-0.389848045820465	0.398358712245151	"S01"	0.77778607172095	"IS03"
"Stxbp6"	"Stxbp6"	-0.199999802041085	-0.371115389042111	0.773863542303038	0.255980490414989	-0.0792284484824301	-0.621821915374744	0.108735173484405	"S01"	0.773863542303038	"IS03"
"Cysltr1"	"Cysltr1"	-0.124160899800007	0.214408022250324	0.769792835627921	0.247976191463177	-0.354919538953848	-0.467513160242046	0.0355932640965655	"S01"	0.769792835627921	"IS03"
"Atrnl1"	"Atrnl1"	-0.219005923175062	-0.162397042414624	0.767642528493309	0.20218553938442	-0.21452674065832	-0.666088932421561	0.337291038996349	"S01"	0.767642528493309	"IS03"
"Gm20696"	"Gm20696"	-0.00977657333666789	-0.118399777730747	0.764635529157255	0.209497349539551	-0.232901349590423	-0.444832823458692	-0.11016761750627	"S01"	0.764635529157255	"IS03"
"Mrtfb"	"Mrtfb"	-0.104760365882101	-0.00635014734173357	0.761226648341204	0.147544235494606	-0.332873972545682	-0.58483994483406	0.292441985821726	"S01"	0.761226648341204	"IS03"
"Plekhg1"	"Plekhg1"	0.0539606230339601	-0.151663528823765	0.760525960232565	-0.111003099307161	-0.223253345183047	-0.374167654104883	0.104546997535694	"S01"	0.760525960232565	"IS03"
"Arhgap6"	"Arhgap6"	0.159050047504643	-0.25062206921354	0.757394555394945	-0.12805424268771	-0.366491694266639	-0.400095382164903	0.263459650883587	"S01"	0.757394555394945	"IS03"
"Plcb1"	"Plcb1"	-0.34732051973905	0.0971896495116839	0.754989108762554	0.00227126665086675	-0.319167573530259	-0.25336847782664	0.409109821036215	"S01"	0.754989108762554	"IS03"
